fecha,p_max,n_llu,n_tor,n_cub,hr,n_fog,inso,q_max,q_mar,q_med,ts_min,nt_30,n_des,n_nub,p_sol,ta_min,e,nv_1000,evap,nt_00,tm_max,q_min,nw_55,w_rec,w_med
1920-01-01,1.4,4.0,0.0,5.0,79.0,5.0,5.0,959.7,1025.4,946.2,8.8,0.0,12.0,14.0,52.0,-1.6,75.0,2.5,310.0,5.0,10.3,922.7,2.390088945362135,206.3659180977543,8.571583514099784
1920-02-01,26.2,12.0,1.0,13.0,75.0,1.0,4.9,960.6,1024.7,945.1,9.7,0.0,11.0,5.0,46.0,-2.9,83.0,2.5,494.0,5.0,11.9,923.9,2.390088945362135,206.3659180977543,8.571583514099784
1920-03-01,8.2,9.0,0.0,7.0,58.32139201637666,0.0,6.8,951.9,1021.5,941.8,9.8,0.0,8.0,16.0,56.0,-1.8,96.80334316617503,1.0,659.0,4.0,14.9,918.7,2.390088945362135,206.3659180977543,8.571583514099784
1920-04-01,9.2,12.0,1.0,9.0,60.0,0.0,7.4,950.3,1015.9,938.7,10.7,0.0,5.0,16.0,55.0,3.2,96.0,0.0,705.0,0.0,18.9,927.0,2.390088945362135,206.3659180977543,8.571583514099784
1920-05-01,37.5,10.0,1.0,7.0,58.0,1.0,9.2,954.5,1015.8,940.6,16.0,2.0,6.0,18.0,63.0,4.0,127.0,0.0,1072.0,0.0,25.0,931.8,2.390088945362135,206.3659180977543,8.571583514099784
1920-06-01,13.9,7.0,3.0,5.0,51.0,0.0,9.6,947.0,1014.4,939.8,23.3,8.0,7.0,18.0,64.0,9.1,136.0,0.0,1211.0,0.0,27.4,930.9,2.390088945362135,206.3659180977543,8.571583514099784
1920-07-01,6.2,2.0,1.0,1.0,39.0,0.0,11.9,947.9,1014.7,941.0,20.0,15.0,19.0,11.0,80.0,12.5,122.0,0.0,1821.0,0.0,31.1,935.7,2.390088945362135,206.3659180977543,8.571583514099784
1920-08-01,1.0,2.0,0.0,0.0,58.32139201637666,0.0,11.5,947.7,1014.5,940.6,20.3,15.0,22.0,9.0,83.0,13.0,96.80334316617503,0.0,1918.0,0.0,31.1,934.6,2.390088945362135,206.3659180977543,8.571583514099784
1920-09-01,2.7,8.0,0.0,3.0,55.0,0.0,8.9,948.2,1017.5,941.9,18.1,3.0,8.0,19.0,71.0,6.2,129.0,0.0,1234.0,0.0,25.4,933.4,2.390088945362135,206.3659180977543,8.571583514099784
1920-10-01,15.9,20.0,0.0,16.0,84.0,3.0,3.2,946.3,1015.7,938.3,12.5,0.0,2.0,13.0,29.0,4.0,120.0,0.0,884.8090717299579,0.0,16.0,927.1,2.390088945362135,206.3659180977543,8.571583514099784
1920-11-01,15.3,16.0,1.0,8.0,85.0,1.0,4.0,953.8,1020.2,941.8,9.4,0.0,7.0,15.0,40.0,0.2,95.0,0.0,884.8090717299579,0.0,11.7,919.5,2.390088945362135,206.3659180977543,8.571583514099784
1920-12-01,22.9,10.0,0.0,6.687563195146613,85.0,7.5,2.8,957.9,1021.3,941.8,9.7,0.0,8.630940343781598,14.995955510616785,30.0,-6.2,78.0,1.2272727272727273,884.8090717299579,5.0,7.9,927.3,2.390088945362135,206.3659180977543,8.571583514099784
1921-01-01,6.0,4.0,0.0,8.0,79.0,7.5,5.2,957.4,1027.5,947.65,5.5,0.0,11.0,12.0,53.0,-3.5,71.0,2.5,312.0,5.0,9.4,932.2,0.0,109.5,4.0
1921-02-01,26.1,18.0,0.0,13.0,78.0,2.0,4.0,955.4,1020.7,941.6,6.9,0.0,3.0,12.0,38.0,-2.5,76.0,1.0,275.0,5.0,10.3,931.9,2.390088945362135,206.3659180977543,6.0
1921-03-01,2.7,11.0,0.0,7.0,61.0,0.0,7.3,956.3,1022.1,943.6,6.8,0.0,9.0,15.0,60.0,-0.3,69.0,1.0,664.0,3.0,13.9,930.6,0.0,217.0,6.0
1921-04-01,0.7,11.0,0.0,6.0,49.0,0.0,8.9,946.9,1015.7,938.5,11.8,0.0,13.0,11.0,66.0,-0.8,69.0,0.0,942.0,1.0,17.5,927.1,0.0,283.0,6.0
1921-05-01,24.2,21.0,1.0,12.0,64.0,0.0,6.6,943.5,1013.9,937.9,12.8,0.0,2.0,17.0,46.0,4.5,110.0,0.0,884.8090717299579,0.0,20.4,931.5,2.390088945362135,206.3659180977543,8.0
1921-06-01,32.8,7.0,0.0,0.0,54.0,0.0,10.8,947.0,1015.6,941.0,20.5,8.0,10.0,20.0,72.0,10.4,136.0,0.0,1152.0,0.0,27.6,931.9,0.0,185.0,3.0
1921-07-01,2.4,5.0,0.0,0.0,45.0,0.0,7.694907908992415,948.3,1015.1,941.4,21.2,15.0,19.0,12.0,61.302275189599136,11.9,141.0,0.0,1705.0,0.0,31.4,936.1,2.390088945362135,206.3659180977543,5.0
1921-08-01,6.4,4.0,0.0,1.0,47.0,0.0,7.694907908992415,947.1,1014.3,940.1,23.6,13.0,20.0,10.0,61.302275189599136,11.7,132.0,0.0,1581.0,0.0,29.3,931.0,2.390088945362135,235.0,3.0
1921-09-01,27.0,11.0,4.0,4.0,62.0,1.0,7.694907908992415,947.5,1016.1,941.3,19.2,4.0,11.0,15.0,61.302275189599136,11.8,146.0,0.0,906.0,0.0,25.7,935.5,2.390088945362135,197.0,3.0
1921-10-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,7.694907908992415,954.7,1017.3861671469741,944.1,16.2,0.0,8.630940343781598,14.995955510616785,61.302275189599136,2.4,96.80334316617503,1.2272727272727273,884.8090717299579,0.0,20.9,933.3,2.390088945362135,206.3659180977543,8.571583514099784
1921-11-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,7.694907908992415,950.5898941289702,1017.3861671469741,940.8134705332086,9.2,0.0,8.630940343781598,14.995955510616785,61.302275189599136,-3.4,96.80334316617503,1.2272727272727273,884.8090717299579,4.0,11.7,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1921-12-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,7.694907908992415,950.5898941289702,1017.3861671469741,940.8134705332086,7.7,0.0,8.630940343781598,14.995955510616785,61.302275189599136,-3.2,96.80334316617503,1.2272727272727273,884.8090717299579,5.0,9.3,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1922-01-01,7.6,11.0,0.0,10.0,76.0,3.0,4.5,959.3,1020.0,940.5,7.6,0.0,11.0,10.0,47.0,-2.8,69.0,1.0,394.0,5.0,9.2,913.3,0.0,210.0,6.0
1922-02-01,13.3,4.0,0.0,4.0,73.0,0.0,6.3,952.6,1021.8,942.2,7.7,0.0,8.0,16.0,58.0,-2.9,77.0,0.0,447.0,4.0,11.7,921.5,1.0,177.0,6.0
1922-03-01,13.7,17.0,0.0,12.0,58.32139201637666,0.0,5.5,957.1,1017.3861671469741,938.3,6.5,0.0,4.0,15.0,46.0,-1.4,96.80334316617503,0.0,617.0,4.0,12.3,912.9,0.0,239.0,10.0
1922-04-01,6.9,6.0,0.0,6.0,60.0,1.0,7.5,949.4,1017.7,940.0,9.4,0.0,3.0,21.0,56.0,0.1,84.0,0.0,770.0,0.0,16.9,927.8,0.0,259.0,10.0
1922-05-01,10.7,8.0,3.0,2.0,48.0,0.0,10.3,954.3,1018.3,943.1,17.2,5.0,13.0,16.0,71.0,2.1,107.0,0.0,1391.0,0.0,26.1,932.3,0.0,184.0,6.0
1922-06-01,24.8,11.0,2.0,5.0,56.0,0.0,9.5,946.6,1015.5,940.5,17.6,6.0,9.0,16.0,63.0,6.9,129.0,0.0,993.0,0.0,25.1,931.7,0.0,206.3659180977543,6.0
1922-07-01,0.0,0.0,0.0,0.0,45.0,0.0,12.1,949.1,1016.1,942.2,20.2,15.0,21.0,10.0,82.0,11.8,139.0,0.0,1614.0,0.0,30.7,934.9,2.390088945362135,206.3659180977543,8.571583514099784
1922-08-01,12.4,8.0,0.0,2.0,48.0,0.0,10.4,945.8,1013.8,939.9,20.0,15.0,18.0,11.0,76.0,10.1,139.0,0.0,1501.0,0.0,30.0,933.1,0.0,206.3659180977543,8.0
1922-09-01,23.7,6.0,0.0,5.0,62.0,0.0,8.2,953.4,1017.9,941.8,15.6,0.0,15.0,10.0,66.0,5.7,119.0,0.0,794.0,0.0,22.4,927.3,2.390088945362135,206.3659180977543,8.0
1922-10-01,17.6,14.0,0.0,10.0,58.32139201637666,1.0,6.0,954.7,1020.4,944.0,13.4,0.0,6.0,15.0,53.0,2.0,96.80334316617503,1.0,884.8090717299579,0.0,18.5,933.2,2.390088945362135,206.3659180977543,8.571583514099784
1922-11-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,7.694907908992415,950.5898941289702,1017.3861671469741,940.8134705332086,11.6,0.0,8.630940343781598,14.995955510616785,61.302275189599136,-2.5,96.80334316617503,1.2272727272727273,884.8090717299579,4.0,12.0,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1922-12-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,7.694907908992415,950.5898941289702,1017.3861671469741,940.8134705332086,7.0,0.0,8.630940343781598,14.995955510616785,61.302275189599136,-2.1,96.80334316617503,1.2272727272727273,884.8090717299579,5.0,8.3,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1923-01-01,13.123185673892555,8.322051282051282,1.0508953817153628,0.0,58.32139201637666,2.5617342130065976,7.694907908992415,950.5898941289702,1017.3861671469741,940.8134705332086,8.6,0.0,17.0,14.0,61.302275189599136,-3.6,96.80334316617503,0.0,884.8090717299579,5.0,8.8,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1923-02-01,5.5,13.0,0.0,6.0,77.0,4.0,3.9,957.0,1018.8,939.9,8.8,0.0,4.0,18.0,37.0,-2.4,77.0,1.2272727272727273,338.0,3.0,11.1,921.0,2.390088945362135,297.5,8.571583514099784
1923-03-01,26.5,11.0,1.0,7.0,69.0,0.0,6.3,951.0,1017.8,940.1,9.6,0.0,7.0,17.0,52.0,0.0,88.0,0.0,647.0,1.0,15.2,928.3,2.390088945362135,274.0,8.571583514099784
1923-04-01,9.6,13.0,2.0,11.0,70.0,0.0,6.2,948.9,1011.4,934.2,8.6,0.0,4.0,15.0,47.0,0.6,89.0,1.0,884.8090717299579,0.0,15.2,916.1,2.390088945362135,297.5,8.571583514099784
1923-05-01,19.2,10.0,5.0,5.0,57.0,0.0,9.1,947.9,1015.9,940.1,15.8,2.0,6.0,18.0,63.0,4.3,110.0,0.0,884.8090717299579,0.0,22.6,931.9,2.390088945362135,297.5,8.571583514099784
1923-06-01,5.2,5.0,0.0,2.0,51.0,0.0,10.5,951.1,1018.1,942.8,17.5,0.0,11.0,17.0,70.0,4.4,115.0,0.0,884.8090717299579,0.0,25.2,937.0,2.390088945362135,206.3659180977543,8.571583514099784
1923-07-01,18.2,3.0,4.0,2.0,46.0,0.0,11.0,950.3,1015.4,941.8,21.6,15.0,14.0,15.0,75.0,12.0,147.0,0.0,1665.0,0.0,31.3,934.3,2.390088945362135,263.0,8.571583514099784
1923-08-01,2.1,4.0,2.0,1.0,42.0,0.0,10.8,948.1,1015.3,941.5,23.8,15.0,20.0,10.0,79.0,11.8,139.0,0.0,884.8090717299579,0.0,32.5,933.8,2.390088945362135,206.3659180977543,8.571583514099784
1923-09-01,10.8,7.0,0.0,6.0,58.32139201637666,0.0,8.8,952.9,1019.5,944.1,16.2,0.0,16.0,8.0,70.0,7.4,96.80334316617503,1.2272727272727273,942.0,0.0,23.9,933.9,2.390088945362135,206.3659180977543,8.571583514099784
1923-10-01,8.5,8.0,0.0,6.0,65.0,0.0,7.694907908992415,955.4,1018.2,941.6,14.6,0.0,8.0,17.0,61.302275189599136,4.6,116.0,1.0,714.0,0.0,20.8,926.6,2.390088945362135,206.3659180977543,8.571583514099784
1923-11-01,19.3,20.0,0.0,17.0,58.32139201637666,0.0,3.3,949.8,1017.3861671469741,936.6,12.2,0.0,4.0,9.0,33.0,-3.4,96.80334316617503,0.0,884.8090717299579,2.0,10.8,921.5,2.390088945362135,206.3659180977543,5.0
1923-12-01,5.6,4.0,0.0,2.0,58.32139201637666,1.0,6.4,953.3,1017.3861671469741,945.8,6.5,0.0,17.0,12.0,69.0,-2.7,96.80334316617503,0.0,367.0,5.0,8.6,933.0,2.390088945362135,206.3659180977543,5.0
1924-01-01,22.8,10.0,0.0,11.0,77.0,7.5,4.2,953.9,1020.7,941.5,6.4,0.0,8.0,12.0,43.0,-2.4,71.0,0.0,269.0,5.0,8.8,919.1,2.390088945362135,206.3659180977543,8.0
1924-02-01,27.9,7.0,2.0,9.0,58.32139201637666,3.0,5.6,950.5,1016.5,936.5,5.6,0.0,13.0,7.0,53.0,-3.8,96.80334316617503,1.2272727272727273,308.0,5.0,7.0,919.1,0.0,206.3659180977543,8.0
1924-03-01,10.6,19.0,0.0,14.0,77.0,1.0,3.7,945.3,1012.3,935.0,12.2,0.0,1.0,14.0,31.0,-3.5,90.0,1.2272727272727273,386.0,3.0,13.2,919.5,0.0,206.3659180977543,6.0
1924-04-01,23.4,7.0,1.0,9.0,58.32139201637666,0.0,8.1,955.0,1015.6,939.0,14.2,0.0,9.0,12.0,60.0,-1.5,96.80334316617503,1.2272727272727273,533.0,2.0,18.3,929.3,0.0,206.3659180977543,5.0
1924-05-01,7.0,3.0,2.0,9.0,53.0,0.0,8.4,949.9,1015.4,940.0,15.5,0.0,7.0,15.0,58.0,5.9,118.0,1.2272727272727273,884.8090717299579,0.0,25.0,928.3,0.0,206.3659180977543,4.0
1924-06-01,0.0,2.0,1.0,2.0,43.0,0.0,11.6,947.1,1015.5,941.0,18.6,14.0,12.0,16.0,77.0,9.9,118.0,1.2272727272727273,1272.0,0.0,28.6,932.2,0.0,206.3659180977543,8.0
1924-07-01,0.0,1.0,0.0,1.0,37.0,0.0,12.1,947.3,1014.2,940.6,20.5,15.0,24.0,5.0,82.0,12.6,116.0,1.0,1609.0,0.0,31.8,931.8,0.0,206.3659180977543,8.0
1924-08-01,0.0,3.0,0.0,2.0,58.32139201637666,0.0,11.2,948.9,1017.3861671469741,940.1,21.8,15.0,22.0,7.0,81.0,9.5,96.80334316617503,1.2272727272727273,1523.0,0.0,30.3,934.5,2.390088945362135,206.3659180977543,8.571583514099784
1924-09-01,28.2,10.0,0.0,3.0,65.0,0.0,7.8,946.9,1015.9,940.7,19.2,1.0,9.0,18.0,62.0,5.1,145.0,1.2272727272727273,768.0,0.0,24.3,931.5,0.0,206.3659180977543,6.0
1924-10-01,6.3,12.0,0.0,7.0,67.0,0.0,6.7,951.3,1018.6,942.2,14.2,0.0,7.0,17.0,60.0,4.0,117.0,1.2272727272727273,673.0,0.0,20.3,933.7,0.0,206.3659180977543,7.0
1924-11-01,9.5,14.0,0.0,10.0,58.32139201637666,4.0,5.7,953.0,1017.3861671469741,941.4,9.5,0.0,10.0,10.0,57.0,-0.6,96.80334316617503,1.2272727272727273,314.0,3.0,12.3,922.3,0.0,206.3659180977543,5.0
1924-12-01,6.4,14.0,1.0,8.0,58.32139201637666,7.0,4.1,955.8,1025.5,945.3,6.8,0.0,9.0,14.0,44.0,-2.6,96.80334316617503,1.2272727272727273,169.0,5.0,8.7,923.7,0.0,206.3659180977543,2.5
1925-01-01,0.8,5.0,0.0,10.0,58.32139201637666,7.5,5.0,962.0999999999999,1027.5,947.65,4.8,0.0,13.0,8.0,51.0,-2.7,96.80334316617503,1.2272727272727273,203.0,5.0,9.3,946.8000000000001,0.0,206.3659180977543,2.5
1925-02-01,16.8,7.0,0.0,8.0,58.32139201637666,2.0,5.9,956.9,1017.3861671469741,940.7,5.6,0.0,10.0,10.0,56.0,-1.9,69.0,1.2272727272727273,274.0,5.0,9.7,914.9,0.0,206.3659180977543,6.0
1925-03-01,5.4,10.0,0.0,7.0,58.32139201637666,1.0,7.0,946.6,1017.3861671469741,938.7,6.4,0.0,9.0,15.0,59.0,-3.5,96.80334316617503,1.2272727272727273,604.0,5.0,11.8,925.5,1.0,206.3659180977543,7.0
1925-04-01,8.8,10.0,1.0,8.0,58.0,1.0,7.6,949.4,1016.0,939.0,9.8,0.0,1.0,21.0,56.0,-1.6,82.0,1.2272727272727273,691.0,1.0,17.0,927.5,0.0,206.3659180977543,9.0
1925-05-01,11.2,11.0,1.0,6.0,57.0,0.0,10.0,950.5,1014.3,938.3,14.0,0.0,5.0,20.0,69.0,2.7,99.0,1.2272727272727273,805.0,0.0,20.1,928.3,0.0,206.3659180977543,7.0
1925-06-01,16.7,17.0,5.0,11.0,62.0,0.0,8.6,945.3,1014.5,939.6,17.7,0.0,4.0,15.0,57.0,10.1,144.0,1.2272727272727273,826.0,0.0,25.4,932.6,1.0,206.3659180977543,6.0
1925-07-01,2.5,7.0,3.0,4.0,52.0,0.0,11.0,949.7,1015.0,940.6,20.6,8.0,9.0,18.0,74.0,9.4,139.0,1.2272727272727273,1209.0,0.0,27.2,931.9,1.0,206.3659180977543,7.0
1925-08-01,4.2,4.0,0.0,3.0,47.0,0.0,11.0,948.9,1015.7,941.6,22.0,15.0,16.0,12.0,80.0,11.0,140.0,1.2272727272727273,1392.0,0.0,28.9,933.8,0.0,206.3659180977543,7.0
1925-09-01,10.3,4.0,0.0,3.0,55.0,0.0,8.9,947.9,1017.2,941.7,17.8,2.0,11.0,16.0,71.0,5.4,122.0,1.2272727272727273,992.0,0.0,24.4,934.3,1.0,206.3659180977543,5.0
1925-10-01,10.4,10.0,1.0,6.0,72.0,3.0,6.3,947.5,1017.4,940.5,12.5,0.0,9.0,16.0,56.0,4.8,114.0,1.2272727272727273,454.0,0.0,18.4,927.9,1.0,206.3659180977543,3.0
1925-11-01,37.5,10.0,0.0,14.0,78.0,7.0,4.1,948.1,1016.6,938.0,9.2,0.0,5.0,11.0,41.0,-3.0,80.0,1.2272727272727273,248.0,5.0,10.4,916.2,5.0,206.3659180977543,7.0
1925-12-01,14.1,17.0,0.0,20.0,88.0,4.0,2.0,955.7,1021.8,942.3,10.1,0.0,3.0,8.0,21.0,-3.5,86.0,1.2272727272727273,884.8090717299579,5.0,8.3,916.5,0.0,206.3659180977543,6.0
1926-01-01,4.9,6.0,0.0,11.0,81.0,7.5,5.3,956.8,1023.4,944.2,7.2,0.0,4.0,16.0,55.0,-5.4,77.0,1.2272727272727273,884.8090717299579,5.0,9.5,918.6,0.0,198.0,5.0
1926-02-01,8.1,10.0,0.0,18.0,78.0,1.0,5.3,955.5,1019.6,941.7,8.6,0.0,4.0,6.0,49.0,1.0,97.0,1.2272727272727273,378.0,0.0,14.4,916.9,2.390088945362135,206.3659180977543,5.0
1926-03-01,8.0,13.0,0.0,10.0,67.0,0.0,6.7,957.3,1018.9,941.4,7.8,0.0,13.0,8.0,57.0,2.4,84.0,1.2272727272727273,632.0,0.0,16.1,923.8,2.390088945362135,206.3659180977543,4.0
1926-04-01,19.6,11.0,0.0,12.0,64.0,0.0,7.1,949.5,1016.1,939.1,11.2,0.0,0.0,18.0,53.0,1.4,93.0,1.2272727272727273,621.0,0.0,17.3,924.6,0.0,297.5,5.0
1926-05-01,16.2,9.0,0.0,12.0,60.0,2.0,8.8,947.8,1014.3,938.1,15.8,2.0,2.0,17.0,61.0,2.3,99.0,1.2272727272727273,725.0,0.0,19.6,925.3,0.0,245.0,4.0
1926-06-01,6.4,7.0,0.0,4.0,44.0,0.0,11.2,948.1,1015.1,940.2,18.7,3.0,5.0,21.0,75.0,7.0,105.0,1.2272727272727273,1196.0,0.0,25.5,933.0,0.0,283.0,4.0
1926-07-01,0.2,3.0,0.0,4.0,37.0,0.0,12.0,949.7,1015.2,941.4,23.8,14.0,20.0,6.0,82.0,11.6,111.0,1.2272727272727273,1682.0,0.0,29.9,935.1,0.0,273.0,3.0
1926-08-01,17.4,3.0,3.0,1.0,40.0,0.0,10.4,948.6,1015.9,942.3,23.6,15.0,17.0,13.0,75.0,15.0,128.0,1.2272727272727273,1695.0,0.0,31.5,937.3,1.0,225.0,2.5
1926-09-01,0.3,4.0,0.0,4.0,46.0,0.0,9.2,951.0,1018.8,944.2,19.4,10.0,13.0,13.0,74.0,7.6,123.0,1.2272727272727273,1393.0,0.0,28.1,935.1,0.0,201.0,2.5
1926-10-01,18.1,15.0,4.0,10.0,67.0,3.0,6.3,947.4,1014.1,938.0,14.0,0.0,11.0,10.0,55.0,2.5,116.0,1.2272727272727273,672.0,0.0,19.9,918.5,0.0,275.0,4.0
1926-11-01,21.5,20.0,0.0,15.0,58.32139201637666,7.0,3.7,948.2,1015.1,936.6,11.0,0.0,1.0,11.0,37.0,-1.3,96.80334316617503,1.2272727272727273,211.0,2.0,11.8,915.0,4.0,272.0,5.0
1926-12-01,7.0,4.0,0.0,7.0,58.32139201637666,5.0,5.6,955.3,1017.3861671469741,944.3,9.9,0.0,11.0,10.0,59.0,-6.6,96.80334316617503,1.2272727272727273,311.0,5.0,8.5,923.1,2.390088945362135,206.3659180977543,7.0
1927-01-01,3.7,10.0,0.0,6.687563195146613,58.32139201637666,4.0,5.2,958.6,1023.8,944.2,7.8,0.0,8.630940343781598,14.995955510616785,54.0,-5.6,96.80334316617503,1.2272727272727273,884.8090717299579,5.0,8.8,920.2,2.390088945362135,206.3659180977543,4.0
1927-02-01,6.3,11.0,0.0,10.0,58.32139201637666,0.0,5.5,958.5,1017.3861671469741,943.0,8.3,0.0,9.0,6.0,52.0,-2.7,67.0,1.2272727272727273,884.8090717299579,5.0,10.0,925.1,6.0,242.0,7.0
1927-03-01,20.5,12.0,0.0,13.0,58.32139201637666,0.0,6.4,955.3,1017.3861671469741,941.7,10.0,0.0,4.0,14.0,53.0,-2.6,96.80334316617503,1.2272727272727273,195.0,1.0,13.3,929.4,0.0,254.0,10.0
1927-04-01,3.4,1.0,0.0,4.0,58.32139201637666,0.0,10.7,950.2,1017.5,941.1,12.1,0.0,14.0,12.0,80.0,1.8,96.80334316617503,1.2272727272727273,1085.0,0.0,19.9,930.3,1.0,217.0,6.0
1927-05-01,15.2,20.0,5.0,14.0,60.0,0.0,8.7,946.1,1014.1,938.5,16.2,0.0,2.0,14.0,60.0,8.1,119.0,1.2272727272727273,793.0,0.0,21.7,929.1,0.0,138.0,6.0
1927-06-01,8.6,10.0,4.0,6.0,58.32139201637666,0.0,10.2,948.9,1014.5,940.0,19.4,7.0,9.0,15.0,68.0,9.5,96.80334316617503,1.2272727272727273,1170.0,0.0,25.7,931.9,1.0,125.0,7.0
1927-07-01,11.9,6.0,3.0,2.0,47.0,0.0,12.0,946.6,1014.6,940.3,21.0,8.0,18.0,11.0,81.0,9.8,122.0,1.2272727272727273,1280.0,0.0,27.4,933.0,0.0,206.3659180977543,7.0
1927-08-01,5.4,5.0,0.0,3.0,44.0,0.0,11.0,948.7,1015.8,941.5,20.8,10.0,15.0,13.0,80.0,10.6,119.0,1.2272727272727273,1378.0,0.0,28.2,933.1,1.0,260.0,7.0
1927-09-01,4.9,4.0,0.0,6.0,58.32139201637666,0.0,8.4,949.3,1015.4,940.6,18.4,2.0,9.0,15.0,67.0,4.0,96.80334316617503,1.2272727272727273,988.0,0.0,24.2,925.3,0.0,276.0,7.0
1927-10-01,16.5,7.0,0.0,7.0,58.32139201637666,2.0,7.3,950.5,1017.3861671469741,941.3,15.1,0.0,14.0,10.0,65.0,5.6,116.0,1.2272727272727273,633.0,0.0,20.4,926.1,0.0,210.0,4.0
1927-11-01,21.8,13.0,0.0,10.0,58.32139201637666,2.0,5.3,955.0,1017.3861671469741,939.3,12.6,0.0,9.0,11.0,52.0,-3.0,86.0,1.2272727272727273,294.0,4.0,11.4,909.9999999999999,0.0,288.0,5.0
1927-12-01,30.1,19.0,0.0,13.0,58.32139201637666,2.0,2.8,950.7,1017.3861671469741,934.3,9.5,0.0,1.0,14.0,30.0,-1.5,96.80334316617503,1.2272727272727273,157.0,5.0,8.9,922.6,0.0,243.0,5.0
1928-01-01,7.6,8.0,0.0,7.0,58.32139201637666,7.5,5.3,956.9,1017.3861671469741,946.8,3.6,0.0,11.0,13.0,54.0,-3.0,69.0,1.2272727272727273,211.0,5.0,8.0,929.5,2.390088945362135,197.0,4.0
1928-02-01,14.6,9.0,0.0,7.0,58.32139201637666,0.0,6.9,961.4,1017.3861671469741,947.65,7.6,0.0,13.0,9.0,65.0,-3.2,74.0,1.2272727272727273,480.0,5.0,13.6,928.7,1.0,276.0,5.0
1928-03-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,7.694907908992415,947.0,1017.3861671469741,935.8,8.4,0.0,8.630940343781598,14.995955510616785,61.302275189599136,-0.1,96.80334316617503,1.2272727272727273,884.8090717299579,1.0,13.5,909.9999999999999,0.0,286.0,7.0
1928-04-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,7.694907908992415,950.5898941289702,1017.3861671469741,940.8134705332086,10.3,0.0,8.630940343781598,14.995955510616785,61.302275189599136,0.2,96.80334316617503,1.2272727272727273,884.8090717299579,0.0,15.8,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1928-05-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,7.694907908992415,950.5898941289702,1017.3861671469741,940.8134705332086,14.2,0.0,8.630940343781598,14.995955510616785,61.302275189599136,4.2,96.80334316617503,1.2272727272727273,884.8090717299579,0.0,19.0,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1928-06-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,10.8,950.5898941289702,1017.3861671469741,940.8134705332086,18.8,8.0,8.630940343781598,14.995955510616785,72.0,9.2,96.80334316617503,1.2272727272727273,804.0,0.0,27.0,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1928-07-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,7.694907908992415,950.5898941289702,1017.3861671469741,940.8134705332086,21.3,15.0,8.630940343781598,14.995955510616785,61.302275189599136,15.7,96.80334316617503,1.2272727272727273,884.8090717299579,0.0,31.6,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1928-08-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,7.694907908992415,950.5898941289702,1017.3861671469741,940.8134705332086,22.1,15.0,8.630940343781598,14.995955510616785,61.302275189599136,13.2,96.80334316617503,1.2272727272727273,884.8090717299579,0.0,30.2,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1928-09-01,13.123185673892555,8.322051282051282,1.0508953817153628,6.687563195146613,58.32139201637666,2.5617342130065976,7.694907908992415,950.5898941289702,1017.3861671469741,940.8134705332086,17.6,1.0,8.630940343781598,14.995955510616785,61.302275189599136,9.6,96.80334316617503,1.2272727272727273,884.8090717299579,0.0,24.7,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1928-10-01,13.123185673892555,8.322051282051282,1.0508953817153628,5.0,58.32139201637666,2.5617342130065976,7.694907908992415,950.5898941289702,1017.3861671469741,940.8134705332086,12.8,0.0,5.0,21.0,61.302275189599136,4.6,96.80334316617503,1.2272727272727273,884.8090717299579,0.0,18.2,927.9304138594803,2.390088945362135,206.3659180977543,8.571583514099784
1928-11-01,17.1,4.0,0.0,6.0,58.32139201637666,3.0,5.6,955.9,1017.3861671469741,942.9,7.4,0.0,8.0,16.0,56.0,-1.0,84.0,1.2272727272727273,271.0,2.0,12.5,921.5,0.0,210.0,4.0
